plano_assinatura,frequencia_uso,tempo_desde_ultimo_acesso,uso_beneficios_plano,variacao_preco,percepcao_custo_beneficio,nivel_satisfacao,falhas_pagamento,cancelou_assinatura
Premium,Alta,Recente,Medio,Aumentou,Baixa,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Recente,Baixo,Manteve,Baixa,Medio,Recorrente,Sim
Intermediario,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Sim
Basico,Media,Recente,Baixo,Manteve,Baixa,Medio,Nenhuma,Sim
Premium,Media,Recente,Medio,Manteve,Baixa,Baixo,Nenhuma,Sim
Premium,Baixa,Longo,Alto,Manteve,Alta,Baixo,Nenhuma,Sim
Premium,Media,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Diminuiu,Alta,Medio,Nenhuma,Nao
Intermediario,Media,Recente,Alto,Aumentou,Media,Baixo,Ocasional,Nao
Premium,Baixa,Moderado,Baixo,Manteve,Baixa,Baixo,Ocasional,Sim
Basico,Alta,Recente,Baixo,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Alta,Recente,Medio,Aumentou,Alta,Medio,Nenhuma,Nao
Premium,Alta,Moderado,Alto,Manteve,Alta,Medio,Nenhuma,Nao
Premium,Baixa,Longo,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Intermediario,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Basico,Alta,Recente,Medio,Diminuiu,Media,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Media,Baixo,Recorrente,Sim
Intermediario,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Sim
Intermediario,Baixa,Moderado,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Intermediario,Media,Moderado,Medio,Manteve,Media,Baixo,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Manteve,Alta,Medio,Nenhuma,Sim
Basico,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Premium,Baixa,Moderado,Medio,Diminuiu,Baixa,Baixo,Recorrente,Sim
Intermediario,Baixa,Moderado,Baixo,Aumentou,Alta,Alto,Nenhuma,Sim
Intermediario,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Premium,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Alta,Moderado,Alto,Aumentou,Alta,Medio,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Diminuiu,Alta,Medio,Ocasional,Nao
Basico,Media,Recente,Medio,Manteve,Baixa,Alto,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Basico,Media,Recente,Baixo,Manteve,Media,Baixo,Nenhuma,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Media,Moderado,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Baixa,Moderado,Medio,Manteve,Baixa,Baixo,Nenhuma,Sim
Premium,Media,Recente,Baixo,Manteve,Alta,Medio,Recorrente,Nao
Basico,Media,Moderado,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Baixa,Longo,Baixo,Aumentou,Media,Baixo,Recorrente,Sim
Basico,Alta,Recente,Medio,Aumentou,Baixa,Alto,Nenhuma,Sim
Basico,Media,Moderado,Baixo,Manteve,Media,Medio,Ocasional,Sim
Intermediario,Baixa,Longo,Baixo,Manteve,Alta,Medio,Nenhuma,Sim
Intermediario,Alta,Moderado,Medio,Aumentou,Alta,Medio,Nenhuma,Sim
Intermediario,Media,Recente,Medio,Manteve,Baixa,Alto,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Premium,Media,Recente,Medio,Aumentou,Baixa,Medio,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Moderado,Medio,Aumentou,Baixa,Medio,Nenhuma,Sim
Premium,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Aumentou,Baixa,Baixo,Nenhuma,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Ocasional,Nao
Basico,Media,Longo,Baixo,Aumentou,Baixa,Alto,Nenhuma,Sim
Premium,Media,Recente,Alto,Manteve,Media,Medio,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Alta,Medio,Nenhuma,Nao
Basico,Baixa,Longo,Baixo,Manteve,Baixa,Baixo,Nenhuma,Sim
Premium,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Aumentou,Media,Alto,Ocasional,Nao
Basico,Media,Recente,Medio,Manteve,Media,Baixo,Ocasional,Nao
Intermediario,Media,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Basico,Media,Moderado,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Premium,Alta,Recente,Alto,Diminuiu,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Baixa,Medio,Ocasional,Sim
Premium,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Manteve,Alta,Medio,Nenhuma,Nao
Basico,Baixa,Recente,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Basico,Media,Moderado,Alto,Aumentou,Baixa,Medio,Nenhuma,Sim
Intermediario,Alta,Moderado,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Recorrente,Sim
Basico,Media,Moderado,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Basico,Media,Recente,Medio,Manteve,Baixa,Baixo,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Medio,Ocasional,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Baixa,Baixo,Ocasional,Sim
Intermediario,Media,Moderado,Medio,Aumentou,Baixa,Alto,Nenhuma,Sim
Basico,Media,Recente,Medio,Manteve,Media,Baixo,Nenhuma,Nao
Intermediario,Alta,Recente,Baixo,Aumentou,Alta,Medio,Nenhuma,Nao
Basico,Media,Recente,Medio,Aumentou,Media,Medio,Ocasional,Sim
Basico,Baixa,Moderado,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Nao
Intermediario,Media,Recente,Baixo,Aumentou,Baixa,Medio,Nenhuma,Sim
Basico,Alta,Recente,Medio,Manteve,Baixa,Alto,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Manteve,Alta,Alto,Ocasional,Nao
Basico,Media,Moderado,Medio,Manteve,Baixa,Medio,Ocasional,Sim
Intermediario,Media,Longo,Alto,Manteve,Alta,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Baixa,Medio,Nenhuma,Nao
Basico,Media,Moderado,Medio,Diminuiu,Media,Medio,Ocasional,Nao
Intermediario,Media,Recente,Medio,Aumentou,Alta,Alto,Recorrente,Nao
Intermediario,Baixa,Longo,Medio,Aumentou,Baixa,Medio,Nenhuma,Sim
Basico,Media,Moderado,Medio,Manteve,Media,Medio,Nenhuma,Nao
Premium,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Aumentou,Baixa,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Baixa,Medio,Nenhuma,Nao
Basico,Baixa,Longo,Baixo,Manteve,Baixa,Baixo,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Media,Moderado,Baixo,Aumentou,Baixa,Medio,Recorrente,Sim
Basico,Media,Recente,Baixo,Manteve,Baixa,Baixo,Nenhuma,Sim
Intermediario,Media,Recente,Medio,Manteve,Media,Baixo,Ocasional,Sim
Basico,Media,Moderado,Alto,Manteve,Media,Baixo,Nenhuma,Sim
Intermediario,Media,Moderado,Baixo,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Aumentou,Baixa,Medio,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Alta,Medio,Nenhuma,Sim
Basico,Baixa,Longo,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Manteve,Media,Medio,Nenhuma,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Medio,Nenhuma,Nao
Premium,Alta,Recente,Alto,Diminuiu,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Medio,Manteve,Alta,Alto,Recorrente,Nao
Basico,Baixa,Longo,Baixo,Manteve,Alta,Medio,Nenhuma,Sim
Basico,Media,Recente,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Premium,Alta,Longo,Alto,Aumentou,Alta,Alto,Ocasional,Nao
Basico,Media,Recente,Medio,Diminuiu,Media,Medio,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Ocasional,Sim
Basico,Baixa,Longo,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Premium,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Diminuiu,Alta,Alto,Nenhuma,Nao
Basico,Media,Moderado,Baixo,Manteve,Baixa,Alto,Recorrente,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Manteve,Alta,Alto,Nenhuma,Sim
Basico,Media,Recente,Baixo,Manteve,Media,Alto,Ocasional,Sim
Intermediario,Media,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Baixo,Manteve,Alta,Medio,Nenhuma,Sim
Intermediario,Media,Moderado,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Media,Medio,Ocasional,Sim
Intermediario,Media,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Aumentou,Alta,Medio,Nenhuma,Nao
Premium,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Baixa,Medio,Ocasional,Sim
Basico,Media,Recente,Medio,Manteve,Baixa,Medio,Nenhuma,Sim
Intermediario,Media,Recente,Baixo,Aumentou,Alta,Medio,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Nenhuma,Sim
Premium,Media,Recente,Medio,Manteve,Alta,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Manteve,Alta,Alto,Recorrente,Sim
Intermediario,Alta,Recente,Alto,Aumentou,Baixa,Medio,Nenhuma,Nao
Premium,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Aumentou,Alta,Baixo,Nenhuma,Sim
Basico,Media,Longo,Baixo,Manteve,Baixa,Alto,Ocasional,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Nenhuma,Sim
Basico,Baixa,Longo,Baixo,Manteve,Baixa,Medio,Nenhuma,Sim
Basico,Media,Recente,Medio,Aumentou,Baixa,Baixo,Nenhuma,Sim
Premium,Baixa,Moderado,Baixo,Manteve,Baixa,Baixo,Ocasional,Sim
Intermediario,Alta,Recente,Baixo,Aumentou,Alta,Alto,Nenhuma,Nao
Premium,Media,Recente,Medio,Aumentou,Media,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Manteve,Baixa,Baixo,Nenhuma,Sim
Basico,Alta,Recente,Baixo,Manteve,Media,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Manteve,Media,Medio,Nenhuma,Nao
Basico,Baixa,Recente,Baixo,Aumentou,Baixa,Medio,Nenhuma,Sim
Basico,Media,Recente,Alto,Aumentou,Baixa,Medio,Nenhuma,Sim
Basico,Media,Longo,Baixo,Manteve,Alta,Baixo,Ocasional,Sim
Basico,Media,Recente,Medio,Aumentou,Baixa,Medio,Nenhuma,Sim
Premium,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Diminuiu,Media,Baixo,Nenhuma,Sim
Premium,Alta,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Aumentou,Baixa,Medio,Nenhuma,Sim
Intermediario,Media,Recente,Baixo,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Baixa,Moderado,Baixo,Diminuiu,Baixa,Alto,Ocasional,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Diminuiu,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Baixo,Manteve,Baixa,Medio,Nenhuma,Nao
Premium,Alta,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Alta,Medio,Nenhuma,Nao
Intermediario,Media,Recente,Baixo,Manteve,Media,Medio,Recorrente,Nao
Basico,Media,Recente,Medio,Aumentou,Baixa,Baixo,Nenhuma,Sim
Basico,Alta,Recente,Baixo,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Baixa,Medio,Ocasional,Nao
Intermediario,Baixa,Longo,Baixo,Aumentou,Baixa,Baixo,Ocasional,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Media,Medio,Ocasional,Nao
Intermediario,Alta,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Recorrente,Nao
Basico,Media,Recente,Medio,Manteve,Baixa,Baixo,Ocasional,Sim
Intermediario,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Baixa,Longo,Baixo,Manteve,Baixa,Baixo,Ocasional,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Baixo,Nenhuma,Nao
Intermediario,Baixa,Longo,Baixo,Manteve,Baixa,Medio,Ocasional,Sim
Intermediario,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Premium,Media,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Basico,Alta,Recente,Alto,Diminuiu,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Longo,Medio,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Aumentou,Baixa,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Alto,Manteve,Media,Alto,Nenhuma,Nao
Basico,Alta,Recente,Baixo,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Baixa,Moderado,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Premium,Alta,Recente,Alto,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Medio,Manteve,Media,Baixo,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Aumentou,Media,Medio,Ocasional,Nao
Basico,Baixa,Longo,Baixo,Manteve,Media,Baixo,Recorrente,Sim
Basico,Alta,Recente,Medio,Manteve,Baixa,Medio,Nenhuma,Sim
Intermediario,Media,Recente,Medio,Aumentou,Baixa,Medio,Ocasional,Nao
Intermediario,Media,Moderado,Medio,Aumentou,Media,Medio,Nenhuma,Sim
Intermediario,Alta,Moderado,Alto,Manteve,Alta,Alto,Nenhuma,Sim
Intermediario,Baixa,Longo,Baixo,Manteve,Baixa,Alto,Recorrente,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Baixa,Baixo,Ocasional,Sim
Basico,Alta,Recente,Alto,Manteve,Media,Baixo,Nenhuma,Nao
Basico,Media,Moderado,Baixo,Manteve,Media,Alto,Nenhuma,Nao
Basico,Baixa,Longo,Baixo,Manteve,Media,Baixo,Ocasional,Sim
Intermediario,Media,Recente,Medio,Aumentou,Media,Baixo,Nenhuma,Nao
Basico,Alta,Recente,Alto,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Aumentou,Media,Baixo,Nenhuma,Sim
Intermediario,Alta,Recente,Medio,Aumentou,Baixa,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Basico,Media,Longo,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Media,Baixo,Nenhuma,Sim
Intermediario,Baixa,Longo,Baixo,Aumentou,Baixa,Medio,Ocasional,Sim
Intermediario,Media,Moderado,Baixo,Manteve,Media,Alto,Nenhuma,Sim
Premium,Baixa,Longo,Baixo,Manteve,Baixa,Baixo,Nenhuma,Sim
Basico,Baixa,Longo,Baixo,Manteve,Alta,Baixo,Nenhuma,Sim
Basico,Media,Longo,Medio,Manteve,Baixa,Medio,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Aumentou,Baixa,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Manteve,Alta,Alto,Recorrente,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Media,Alto,Nenhuma,Nao
Premium,Alta,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Media,Alto,Ocasional,Nao
Intermediario,Media,Recente,Medio,Manteve,Alta,Alto,Ocasional,Nao
Premium,Alta,Longo,Alto,Manteve,Media,Medio,Nenhuma,Sim
Basico,Media,Recente,Medio,Manteve,Media,Medio,Ocasional,Nao
Basico,Alta,Recente,Baixo,Manteve,Alta,Medio,Nenhuma,Nao
Basico,Baixa,Longo,Baixo,Manteve,Media,Medio,Ocasional,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Alta,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Premium,Baixa,Longo,Alto,Manteve,Baixa,Medio,Nenhuma,Sim
Basico,Media,Recente,Medio,Manteve,Alta,Baixo,Ocasional,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Alta,Alto,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Sim
Basico,Media,Moderado,Medio,Manteve,Baixa,Baixo,Nenhuma,Sim
Intermediario,Baixa,Recente,Baixo,Manteve,Media,Baixo,Recorrente,Sim
Premium,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Premium,Media,Moderado,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Aumentou,Baixa,Alto,Nenhuma,Sim
Premium,Baixa,Longo,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Manteve,Media,Alto,Nenhuma,Nao
Basico,Baixa,Moderado,Baixo,Manteve,Baixa,Baixo,Ocasional,Sim
Basico,Media,Moderado,Medio,Manteve,Media,Medio,Ocasional,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Baixa,Longo,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Basico,Alta,Recente,Alto,Aumentou,Media,Medio,Recorrente,Nao
Basico,Media,Recente,Alto,Aumentou,Baixa,Medio,Nenhuma,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Media,Recente,Medio,Manteve,Alta,Medio,Nenhuma,Nao
Basico,Baixa,Recente,Baixo,Manteve,Baixa,Medio,Ocasional,Sim
Basico,Alta,Longo,Alto,Aumentou,Baixa,Medio,Nenhuma,Sim
Intermediario,Alta,Recente,Medio,Manteve,Media,Baixo,Nenhuma,Nao
Premium,Media,Recente,Medio,Aumentou,Media,Baixo,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Manteve,Alta,Medio,Ocasional,Sim
Basico,Alta,Recente,Baixo,Manteve,Media,Medio,Nenhuma,Sim
Premium,Baixa,Longo,Baixo,Manteve,Media,Baixo,Recorrente,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Media,Alto,Recorrente,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Medio,Ocasional,Sim
Basico,Baixa,Longo,Baixo,Manteve,Media,Medio,Recorrente,Sim
Basico,Alta,Recente,Alto,Manteve,Media,Baixo,Nenhuma,Sim
Intermediario,Media,Recente,Baixo,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Baixa,Moderado,Baixo,Manteve,Media,Medio,Ocasional,Nao
Premium,Media,Moderado,Medio,Diminuiu,Baixa,Medio,Nenhuma,Sim
Premium,Media,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Media,Medio,Nenhuma,Nao
Basico,Media,Moderado,Baixo,Manteve,Baixa,Medio,Ocasional,Sim
Basico,Media,Recente,Medio,Aumentou,Alta,Medio,Nenhuma,Nao
Premium,Media,Moderado,Medio,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Aumentou,Media,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Manteve,Media,Medio,Ocasional,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Media,Medio,Nenhuma,Nao
Premium,Media,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Aumentou,Baixa,Alto,Nenhuma,Sim
Basico,Alta,Recente,Alto,Manteve,Alta,Alto,Recorrente,Nao
Basico,Baixa,Longo,Medio,Manteve,Media,Baixo,Ocasional,Sim
Intermediario,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Medio,Aumentou,Alta,Alto,Ocasional,Nao
Intermediario,Media,Recente,Baixo,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Media,Recente,Baixo,Manteve,Baixa,Baixo,Nenhuma,Sim
Premium,Alta,Recente,Alto,Manteve,Media,Alto,Nenhuma,Nao
Premium,Media,Recente,Medio,Aumentou,Alta,Alto,Nenhuma,Nao
Intermediario,Media,Recente,Baixo,Manteve,Alta,Alto,Nenhuma,Nao
Basico,Media,Recente,Medio,Diminuiu,Media,Alto,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Alto,Aumentou,Alta,Medio,Nenhuma,Sim
Intermediario,Alta,Recente,Medio,Manteve,Alta,Medio,Nenhuma,Nao
Basico,Media,Recente,Baixo,Manteve,Media,Alto,Ocasional,Sim
Basico,Baixa,Moderado,Baixo,Manteve,Baixa,Baixo,Nenhuma,Sim
Premium,Alta,Recente,Alto,Aumentou,Media,Medio,Nenhuma,Nao
Intermediario,Baixa,Longo,Medio,Manteve,Media,Alto,Nenhuma,Nao
Premium,Alta,Recente,Alto,Manteve,Alta,Medio,Ocasional,Nao
Intermediario,Alta,Recente,Alto,Manteve,Alta,Medio,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Manteve,Media,Medio,Nenhuma,Sim
Basico,Media,Moderado,Baixo,Manteve,Baixa,Medio,Nenhuma,Sim
Premium,Baixa,Longo,Alto,Manteve,Baixa,Baixo,Nenhuma,Sim
Basico,Media,Moderado,Medio,Aumentou,Alta,Alto,Nenhuma,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
Intermediario,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Media,Moderado,Medio,Aumentou,Baixa,Medio,Nenhuma,Nao
Basico,Media,Moderado,Baixo,Aumentou,Baixa,Baixo,Nenhuma,Sim
Basico,Alta,Recente,Alto,Manteve,Media,Medio,Nenhuma,Nao
Intermediario,Media,Moderado,Medio,Aumentou,Media,Medio,Nenhuma,Nao
Basico,Media,Moderado,Medio,Manteve,Media,Baixo,Nenhuma,Nao
Premium,Alta,Recente,Medio,Manteve,Media,Medio,Nenhuma,Nao
Basico,Alta,Recente,Alto,Aumentou,Baixa,Alto,Ocasional,Nao
Premium,Baixa,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Basico,Alta,Recente,Medio,Manteve,Alta,Alto,Nenhuma,Nao
Premium,Media,Moderado,Medio,Manteve,Media,Alto,Nenhuma,Nao
Premium,Media,Longo,Alto,Aumentou,Media,Baixo,Nenhuma,Nao
Intermediario,Media,Recente,Baixo,Manteve,Media,Alto,Nenhuma,Nao
Intermediario,Media,Moderado,Baixo,Aumentou,Media,Baixo,Nenhuma,Sim
Basico,Baixa,Longo,Baixo,Aumentou,Baixa,Medio,Nenhuma,Sim
Basico,Baixa,Moderado,Baixo,Aumentou,Baixa,Medio,Nenhuma,Sim
Premium,Alta,Recente,Medio,Aumentou,Baixa,Medio,Ocasional,Sim
Intermediario,Alta,Recente,Alto,Manteve,Alta,Alto,Nenhuma,Nao
